epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1448.02,0.60473,0.41316,1.00016,0.83252,0.82204,0.8595,0.71862,0.68997,0.67971,1.03766,0.00030587,0.00030587,0.00030587
75,1467.34,0.61275,0.41385,1.00426,0.82387,0.84202,0.86715,0.72395,0.69796,0.6596,1.04795,0.000299525,0.000299525,0.000299525
76,1486.79,0.60032,0.40678,0.99982,0.83493,0.82848,0.87425,0.73144,0.6895,0.63514,1.0423,0.000293181,0.000293181,0.000293181
77,1505.53,0.59465,0.40885,0.99779,0.80102,0.82804,0.86735,0.72377,0.69199,0.66547,1.04305,0.000286837,0.000286837,0.000286837
78,1524.91,0.58684,0.40011,0.99538,0.8441,0.80138,0.85272,0.71147,0.69299,0.69145,1.04716,0.000280493,0.000280493,0.000280493
79,1543.68,0.58576,0.3946,0.99061,0.82411,0.81703,0.85475,0.71382,0.69188,0.69704,1.04279,0.000274148,0.000274148,0.000274148
80,1562.73,0.58786,0.395,0.99248,0.79633,0.84016,0.85393,0.71514,0.68946,0.70677,1.03611,0.000267804,0.000267804,0.000267804
81,1582.3,0.58364,0.39041,0.99515,0.82694,0.83074,0.86538,0.72732,0.68692,0.68168,1.03819,0.00026146,0.00026146,0.00026146
82,1601.16,0.58119,0.39053,0.99519,0.83974,0.81896,0.86354,0.7229,0.69052,0.67251,1.04486,0.000255116,0.000255116,0.000255116
83,1620.32,0.57391,0.38512,0.98978,0.84583,0.82375,0.86108,0.72214,0.68997,0.66532,1.04626,0.000248772,0.000248772,0.000248772
84,1640.26,0.57451,0.38665,0.98722,0.83996,0.84081,0.8707,0.73037,0.68191,0.65366,1.04031,0.000242427,0.000242427,0.000242427
85,1660.44,0.56687,0.37578,0.9852,0.82249,0.83513,0.86193,0.72422,0.68419,0.67988,1.04438,0.000236083,0.000236083,0.000236083
86,1681.04,0.56253,0.37126,0.98529,0.81302,0.83442,0.84329,0.70945,0.68629,0.72602,1.0457,0.000229739,0.000229739,0.000229739
87,1700.15,0.55091,0.37415,0.97873,0.82923,0.82368,0.8514,0.7153,0.68422,0.70316,1.04743,0.000223395,0.000223395,0.000223395
88,1720.08,0.55485,0.37027,0.97791,0.83882,0.82111,0.86285,0.72702,0.68046,0.67999,1.04469,0.00021705,0.00021705,0.00021705
89,1739.37,0.54889,0.36192,0.97452,0.83147,0.82714,0.85726,0.72181,0.67193,0.71177,1.03457,0.000210706,0.000210706,0.000210706
90,1759.1,0.54827,0.36318,0.97859,0.8049,0.82384,0.84826,0.71454,0.68155,0.71144,1.03876,0.000204362,0.000204362,0.000204362
91,1778.7,0.5508,0.36353,0.97855,0.82109,0.83229,0.86313,0.7296,0.67236,0.66896,1.03225,0.000198018,0.000198018,0.000198018
92,1800.27,0.54327,0.36791,0.97628,0.83273,0.82204,0.859,0.72514,0.67479,0.6983,1.03995,0.000191673,0.000191673,0.000191673
93,1820.56,0.53756,0.35434,0.97499,0.84752,0.81704,0.86122,0.73024,0.67103,0.68413,1.03644,0.000185329,0.000185329,0.000185329
94,1839.13,0.53314,0.34762,0.97348,0.8307,0.82259,0.84836,0.71664,0.67432,0.7074,1.04347,0.000178985,0.000178985,0.000178985
95,1857.79,0.53242,0.34671,0.9695,0.85444,0.81975,0.85962,0.72304,0.68784,0.69736,1.04826,0.000172641,0.000172641,0.000172641
96,1876.61,0.53758,0.35292,0.97456,0.85381,0.81169,0.86203,0.72607,0.68671,0.67785,1.04438,0.000166296,0.000166296,0.000166296
97,1895.89,0.53026,0.34878,0.97501,0.84558,0.80798,0.85725,0.72347,0.69208,0.68508,1.05772,0.000159952,0.000159952,0.000159952
98,1915.27,0.51944,0.34128,0.96645,0.84024,0.82237,0.86328,0.72537,0.68214,0.68629,1.05171,0.000153608,0.000153608,0.000153608
99,1934.22,0.5169,0.33457,0.96307,0.83464,0.82566,0.85901,0.72065,0.68579,0.69677,1.04866,0.000147264,0.000147264,0.000147264
100,1954.45,0.52284,0.34694,0.96964,0.81798,0.82374,0.84902,0.71469,0.68804,0.71358,1.05308,0.000140919,0.000140919,0.000140919
101,1974.23,0.52002,0.33778,0.96637,0.82446,0.81725,0.85409,0.72074,0.68108,0.70909,1.04485,0.000134575,0.000134575,0.000134575
102,1993.1,0.50708,0.33082,0.95896,0.84418,0.81311,0.85871,0.72643,0.68033,0.70252,1.04523,0.000128231,0.000128231,0.000128231
103,2012.1,0.50733,0.32976,0.96087,0.83703,0.82432,0.85835,0.7261,0.67753,0.69531,1.04577,0.000121887,0.000121887,0.000121887
104,2030.26,0.50656,0.32767,0.96505,0.81079,0.84529,0.86194,0.72972,0.67638,0.70419,1.03912,0.000115542,0.000115542,0.000115542
105,2049.53,0.50352,0.32765,0.9597,0.829,0.82932,0.85846,0.72476,0.67572,0.69972,1.04326,0.000109198,0.000109198,0.000109198
106,2068.47,0.49299,0.31986,0.95338,0.81294,0.83649,0.86152,0.73178,0.67146,0.68637,1.03907,0.000102854,0.000102854,0.000102854
107,2089.45,0.49532,0.32299,0.95552,0.83926,0.8121,0.85866,0.72933,0.66842,0.68934,1.03797,9.65095e-05,9.65095e-05,9.65095e-05
108,2109.81,0.4912,0.31728,0.95528,0.85189,0.81727,0.86103,0.73045,0.67107,0.68656,1.04474,9.01652e-05,9.01652e-05,9.01652e-05
109,2129.23,0.49329,0.3179,0.95605,0.85124,0.81368,0.86092,0.73246,0.67106,0.69603,1.04446,8.3821e-05,8.3821e-05,8.3821e-05
110,2147.75,0.49331,0.31623,0.95552,0.83336,0.81831,0.85708,0.7289,0.67192,0.71317,1.0453,7.74768e-05,7.74768e-05,7.74768e-05
111,2167.9,0.37553,0.22233,0.8693,0.83056,0.80185,0.84306,0.71248,0.67457,0.73151,1.05702,7.11325e-05,7.11325e-05,7.11325e-05
112,2188.91,0.35888,0.20906,0.86326,0.83624,0.81782,0.85295,0.72155,0.67451,0.69937,1.05755,6.47882e-05,6.47882e-05,6.47882e-05
113,2209.42,0.35413,0.20551,0.86418,0.82801,0.81431,0.85552,0.72346,0.67445,0.70355,1.05896,5.8444e-05,5.8444e-05,5.8444e-05
114,2228.19,0.34623,0.20095,0.86475,0.83426,0.82166,0.8595,0.72875,0.67001,0.69635,1.05374,5.20998e-05,5.20998e-05,5.20998e-05
115,2246.36,0.34194,0.19918,0.85597,0.82683,0.83173,0.85886,0.7297,0.6709,0.70023,1.05669,4.57555e-05,4.57555e-05,4.57555e-05
116,2266.81,0.3342,0.19435,0.85392,0.83236,0.82523,0.86013,0.73166,0.67283,0.69415,1.0541,3.94112e-05,3.94112e-05,3.94112e-05
117,2287.56,0.33536,0.19314,0.85524,0.82501,0.83018,0.86222,0.73149,0.6718,0.69709,1.05257,3.3067e-05,3.3067e-05,3.3067e-05
118,2308.06,0.33222,0.19025,0.8527,0.83625,0.81285,0.86134,0.73248,0.66866,0.69721,1.05161,2.67228e-05,2.67228e-05,2.67228e-05
119,2327.23,0.32875,0.18824,0.85593,0.84281,0.81122,0.8625,0.7342,0.66757,0.69664,1.05092,2.03785e-05,2.03785e-05,2.03785e-05
120,2346.22,0.32518,0.18419,0.84877,0.81823,0.82441,0.85673,0.73003,0.66928,0.71257,1.05229,1.40342e-05,1.40342e-05,1.40342e-05
